Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S59557291,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128842,BPI-011-CR,10.1479216,-84.5072521,2019-09-06,06:18 AM,eBird - Stationary Count,10,1,,,1,,3
S59561790,Gray-headed Chachalaca,Ortalis cinereiceps,751,10,CR-A,,L11128842,BPI-011-CR,10.1479216,-84.5072521,2019-09-06,06:32 AM,eBird - Stationary Count,10,1,,,1,,10
S65514577,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11128842,BPI-011-CR,10.1479216,-84.5072521,2020-03-05,05:59 AM,eBird - Stationary Count,10,1,,,1,,5,BPI-11
S59557281,Gray-headed Chachalaca,Ortalis cinereiceps,751,4,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2019-09-06,05:58 AM,eBird - Stationary Count,10,1,,,1,,4
S59561871,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2019-09-06,06:11 AM,eBird - Stationary Count,11,1,,,1,,5
S65436409,Gray-headed Chachalaca,Ortalis cinereiceps,751,10,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2020-03-04,09:07 AM,eBird - Stationary Count,10,1,,,1,,10,BPI-12
S65514583,Gray-headed Chachalaca,Ortalis cinereiceps,751,5,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2020-03-05,05:46 AM,eBird - Stationary Count,10,1,,,1,,5,BPI-12
S65482018,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2020-03-05,05:58 AM,eBird - Stationary Count,10,1,,,1,,3,bpi12
S73639502,Gray-headed Chachalaca,Ortalis cinereiceps,751,3,CR-A,,L11128852,BPI-012-CR,10.1483125,-84.5081602,2020-08-16,08:26 AM,eBird - Stationary Count,11,1,,,1,,3
S59642807,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11128927,BPI-014-CR,10.1127216,-84.5569653,2019-09-09,06:41 AM,eBird - Stationary Count,10,1,,,1
S73638991,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128927,BPI-014-CR,10.1127216,-84.5569653,2020-08-22,06:01 AM,eBird - Stationary Count,10,1,,,1,,2
S59641916,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128944,BPI-016-CR,10.1106973,-84.5575363,2019-09-09,07:02 AM,eBird - Stationary Count,12,1,,,1,,2,BPI-16
S59642989,Gray-headed Chachalaca,Ortalis cinereiceps,751,2,CR-A,,L11128944,BPI-016-CR,10.1106973,-84.5575363,2019-09-09,07:16 AM,eBird - Stationary Count,10,1,,,1,,2,BPI-16
S59643064,Gray-headed Chachalaca,Ortalis cinereiceps,751,1,CR-A,,L11128972,BPI-017-CR,10.1112232,-84.5571165,2019-09-09,07:40 AM,eBird - Stationary Count,10,1,,,1
